,Gene,Sample,Match,Total
0,A,HG03453,1,2
1,A,HG01106,2,2
2,A,HG01258,2,2
3,A,HG01109,2,2
4,A,HG02717,2,2
5,A,HG01952,2,2
6,A,HG02622,2,2
7,A,HG01071,2,2
8,A,HG03579,2,2
9,A,HG03516,2,2
10,A,HG01891,2,2
11,A,HG01175,2,2
12,A,HG01928,2,2
13,A,HG00621,2,2
14,A,HG03540,2,2
15,A,HG02055,2,2
16,A,HG02886,2,2
17,A,HG00733,2,2
18,A,HG02148,1,2
19,A,HG01123,2,2
20,A,HG00438,2,2
21,A,HG02630,2,2
22,A,HG02572,2,2
23,A,HG03098,2,2
24,A,HG02486,2,2
25,A,HG01978,2,2
26,A,HG01243,2,2
27,A,HG02559,2,2
28,A,HG00735,2,2
29,A,HG00673,2,2
30,A,HG03492,2,2
31,A,HG01361,2,2
32,A,HG00741,2,2
33,A,HG01358,2,2
34,A,HG02257,2,2
35,A,HG02080,2,2
36,B,HG03453,2,2
37,B,HG01106,2,2
38,B,HG01258,2,2
39,B,HG01109,2,2
40,B,HG02717,2,2
41,B,HG01952,2,2
42,B,HG02622,2,2
43,B,HG01071,2,2
44,B,HG03579,2,2
45,B,HG03516,2,2
46,B,HG01891,2,2
47,B,HG01175,2,2
48,B,HG01928,2,2
49,B,HG00621,2,2
50,B,HG03540,2,2
51,B,HG02055,2,2
52,B,HG02886,2,2
53,B,HG00733,2,2
54,B,HG02148,2,2
55,B,HG01123,2,2
56,B,HG00438,2,2
57,B,HG02630,2,2
58,B,HG02572,2,2
59,B,HG03098,2,2
60,B,HG02486,2,2
61,B,HG01978,2,2
62,B,HG01243,2,2
63,B,HG02559,2,2
64,B,HG00735,2,2
65,B,HG00673,2,2
66,B,HG03492,2,2
67,B,HG01361,2,2
68,B,HG00741,2,2
69,B,HG01358,2,2
70,B,HG02257,2,2
71,B,HG02080,2,2
72,C,HG03453,2,2
73,C,HG01106,2,2
74,C,HG01258,2,2
75,C,HG01109,2,2
