depth,correct,total,accuracy,dataset,field
0,584,636,0.9182389937106918,HPRC HiFi,1
5,583,634,0.919558359621451,HPRC HiFi,1
10,566,610,0.9278688524590164,HPRC HiFi,1
15,556,594,0.936026936026936,HPRC HiFi,1
20,548,586,0.9351535836177475,HPRC HiFi,1
0,72,78,0.9230769230769231,HGSCV2 HiFi,1
5,72,78,0.9230769230769231,HGSCV2 HiFi,1
10,70,76,0.9210526315789473,HGSCV2 HiFi,1
15,67,72,0.9305555555555556,HGSCV2 HiFi,1
20,64,68,0.9411764705882353,HGSCV2 HiFi,1
0,330,352,0.9375,HPRC ONT,1
5,330,352,0.9375,HPRC ONT,1
10,313,332,0.9427710843373494,HPRC ONT,1
15,284,302,0.9403973509933775,HPRC ONT,1
20,243,258,0.9418604651162791,HPRC ONT,1
0,89,100,0.89,HGSCV2 CLR,1
5,89,100,0.89,HGSCV2 CLR,1
10,85,94,0.9042553191489362,HGSCV2 CLR,1
15,79,84,0.9404761904761905,HGSCV2 CLR,1
20,77,82,0.9390243902439024,HGSCV2 CLR,1
0,581,636,0.9135220125786163,HPRC HiFi,2
5,580,634,0.9148264984227129,HPRC HiFi,2
10,563,610,0.9229508196721311,HPRC HiFi,2
15,553,594,0.930976430976431,HPRC HiFi,2
20,545,586,0.9300341296928327,HPRC HiFi,2
0,72,78,0.9230769230769231,HGSCV2 HiFi,2
5,72,78,0.9230769230769231,HGSCV2 HiFi,2
10,70,76,0.9210526315789473,HGSCV2 HiFi,2
15,67,72,0.9305555555555556,HGSCV2 HiFi,2
20,64,68,0.9411764705882353,HGSCV2 HiFi,2
0,328,352,0.9318181818181818,HPRC ONT,2
5,328,352,0.9318181818181818,HPRC ONT,2
10,312,332,0.9397590361445783,HPRC ONT,2
15,283,302,0.9370860927152318,HPRC ONT,2
20,242,258,0.937984496124031,HPRC ONT,2
0,89,100,0.89,HGSCV2 CLR,2
5,89,100,0.89,HGSCV2 CLR,2
10,85,94,0.9042553191489362,HGSCV2 CLR,2
15,79,84,0.9404761904761905,HGSCV2 CLR,2
20,77,82,0.9390243902439024,HGSCV2 CLR,2
0,564,636,0.8867924528301887,HPRC HiFi,3
5,563,634,0.88801261829653,HPRC HiFi,3
10,547,610,0.8967213114754098,HPRC HiFi,3
15,537,594,0.9040404040404041,HPRC HiFi,3
20,529,586,0.9027303754266212,HPRC HiFi,3
0,71,78,0.9102564102564102,HGSCV2 HiFi,3
5,71,78,0.9102564102564102,HGSCV2 HiFi,3
10,69,76,0.9078947368421053,HGSCV2 HiFi,3
15,66,72,0.9166666666666666,HGSCV2 HiFi,3
20,63,68,0.9264705882352942,HGSCV2 HiFi,3
0,322,352,0.9147727272727273,HPRC ONT,3
5,322,352,0.9147727272727273,HPRC ONT,3
10,306,332,0.9216867469879518,HPRC ONT,3
15,278,302,0.9205298013245033,HPRC ONT,3
20,238,258,0.9224806201550387,HPRC ONT,3
0,89,100,0.89,HGSCV2 CLR,3
5,89,100,0.89,HGSCV2 CLR,3
10,85,94,0.9042553191489362,HGSCV2 CLR,3
15,79,84,0.9404761904761905,HGSCV2 CLR,3
20,77,82,0.9390243902439024,HGSCV2 CLR,3
