depth,correct,total,accuracy,dataset
0,5440,5562,0.9780654440848615,HGSVC HiFi
5,5430,5514,0.984766050054407,HGSVC HiFi
10,5330,5398,0.987402741756206,HGSVC HiFi
15,5124,5168,0.9914860681114551,HGSVC HiFi
20,4703,4732,0.9938715131022823,HGSVC HiFi
0,11452,11622,0.9853725692651867,HGSVC CLR
5,11436,11572,0.988247493950916,HGSVC CLR
10,11362,11490,0.9888598781549173,HGSVC CLR
15,11246,11362,0.9897905298362965,HGSVC CLR
20,11045,11144,0.991116295764537,HGSVC CLR
0,28933,29504,0.9806466919739696,HPRC HiFi
5,28820,29074,0.9912636720093554,HPRC HiFi
10,27876,28052,0.9937259375445601,HPRC HiFi
15,26230,26360,0.9950682852807283,HPRC HiFi
20,24456,24552,0.9960899315738025,HPRC HiFi
0,17901,18694,0.9575799721835884,HPRC ONT
5,17550,17780,0.9870641169853769,HPRC ONT
10,15874,16034,0.9900212049395035,HPRC ONT
15,13320,13422,0.9924005364327224,HPRC ONT
20,10914,10986,0.9934462042599672,HPRC ONT
