,Gene,Sample,Match,Total
0,A,NA19238,2,2
1,A,HG02011,2,2
2,A,HG01596,2,2
3,A,HG00171,2,2
4,A,HG02587,2,2
5,A,HG00733,2,2
6,A,HG00732,2,2
7,A,HG02492,2,2
8,A,NA19239,2,2
9,A,HG00514,2,2
10,A,NA19983,2,2
11,A,HG03009,2,2
12,A,HG00731,2,2
13,A,HG03732,2,2
14,A,HG03065,2,2
15,A,HG01114,1,2
16,A,NA19240,2,2
17,A,HG03683,2,2
18,A,HG03371,2,2
19,B,NA19238,2,2
20,B,HG02011,2,2
21,B,HG01596,2,2
22,B,HG00171,2,2
23,B,HG02587,2,2
24,B,HG00733,2,2
25,B,HG00732,2,2
26,B,HG02492,2,2
27,B,NA19239,2,2
28,B,HG00514,2,2
29,B,NA19983,2,2
30,B,HG03009,2,2
31,B,HG00731,2,2
32,B,HG03732,2,2
33,B,HG03065,2,2
34,B,HG01114,2,2
35,B,NA19240,2,2
36,B,HG03683,2,2
37,B,HG03371,2,2
38,C,NA19238,2,2
39,C,HG02011,2,2
40,C,HG01596,1,2
41,C,HG00171,2,2
42,C,HG02587,2,2
43,C,HG00733,2,2
44,C,HG00732,2,2
45,C,HG02492,2,2
46,C,NA19239,2,2
47,C,HG00514,2,2
48,C,NA19983,2,2
49,C,HG03009,2,2
50,C,HG00731,2,2
51,C,HG03732,2,2
52,C,HG03065,2,2
53,C,HG01114,2,2
54,C,NA19240,2,2
55,C,HG03683,2,2
56,C,HG03371,2,2
57,DMA,NA19238,2,2
58,DMA,HG02011,2,2
59,DMA,HG01596,2,2
60,DMA,HG00171,2,2
61,DMA,HG02587,2,2
62,DMA,HG00733,2,2
63,DMA,HG00732,2,2
64,DMA,HG02492,2,2
65,DMA,NA19239,2,2
66,DMA,HG00514,2,2
67,DMA,NA19983,2,2
68,DMA,HG03009,2,2
69,DMA,HG00731,2,2
70,DMA,HG03732,2,2
71,DMA,HG03065,2,2
72,DMA,HG01114,2,2
73,DMA,NA19240,2,2
74,DMA,HG03683,2,2
75,DMA,HG03371,2,2
76,DMB,NA19238,2,2
77,DMB,HG02011,2,2
78,DMB,HG01596,2,2
79,DMB,HG00171,2,2
80,DMB,HG02587,2,2
